"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26974","Delete Multiple Files","files","2026-09-23","passed","2026-09-23","","TC_04_Delete_Multiple_files","",""
"","20665","Files Pagination Check","files","2026-09-23","passed","2026-09-23","","TC_02_Files_Pagination","",""
"","10348","Search Files Name","files","2026-09-23","failed","2026-09-23","","TC_03_Search_Files_Name","",""
"","4199","Validate Upload Files modal tabs options","files","2026-09-23","failed","2026-09-23","","TC_10_Validate_Upload_Files_Tabs","",""
"","16474","Cancel Dataset Addition Functionality","files","2026-09-23","failed","2026-09-23","","TC_07_Cancel_Dataset_Addition","",""
"","10527","Create New Dataset Functionality","files","2026-09-23","failed","2026-09-23","","TC_08_Create_New_Dataset","",""
"","11744","Upload Mixed Files Valid and Invalid Both Files","files","2026-09-23","passed","2026-09-23","","TC_09_Upload_Mixed_Files_Valid_Invalid","",""
"","15464","Verify cancelling file upload process while uploading multiple files","files","2026-09-23","broken","2026-09-23","","TC_11_Cancel_File_Upload","",""
"","8369","Upload Single Multiple and Invalid files","files","2026-09-23","failed","2026-09-23","","TC_01_Upload_Single_Multiple_Invalid_Files","",""
"","16540","Dataset Files Add Delete Functionality","files","2026-09-23","failed","2026-09-23","","TC_06_Dataset_Delete_Functionality","",""
"","22939","Dataset Files Add Delete Functionality","files","2026-09-23","failed","2026-09-23","","TC_05_Dataset_Add_Functionality","",""
